language,number,constructions
artificial_language_g0_244_m1_m4_m7,1,1
artificial_language_g0_244_m1_m4_m7,2,2
artificial_language_g0_244_m1_m4_m7,3,3
artificial_language_g0_244_m1_m4_m7,4,4
artificial_language_g0_244_m1_m4_m7,5,5
artificial_language_g0_244_m1_m4_m7,6,6
artificial_language_g0_244_m1_m4_m7,7,7
artificial_language_g0_244_m1_m4_m7,8,8
artificial_language_g0_244_m1_m4_m7,9,9
artificial_language_g0_244_m1_m4_m7,10,10
artificial_language_g0_244_m1_m4_m7,11,11
artificial_language_g0_244_m1_m4_m7,12,12
artificial_language_g0_244_m1_m4_m7,13,13
artificial_language_g0_244_m1_m4_m7,14,14
artificial_language_g0_244_m1_m4_m7,15,15
artificial_language_g0_244_m1_m4_m7,16,16
artificial_language_g0_244_m1_m4_m7,17,17
artificial_language_g0_244_m1_m4_m7,18,18
artificial_language_g0_244_m1_m4_m7,19,19
artificial_language_g0_244_m1_m4_m7,20,20
artificial_language_g0_244_m1_m4_m7,21,21
artificial_language_g0_244_m1_m4_m7,22,22
artificial_language_g0_244_m1_m4_m7,23,23
artificial_language_g0_244_m1_m4_m7,24,24
artificial_language_g0_244_m1_m4_m7,25,25
artificial_language_g0_244_m1_m4_m7,26,26
artificial_language_g0_244_m1_m4_m7,27,27
artificial_language_g0_244_m1_m4_m7,28,28
artificial_language_g0_244_m1_m4_m7,29,29
artificial_language_g0_244_m1_m4_m7,30,30
artificial_language_g0_244_m1_m4_m7,31,31
artificial_language_g0_244_m1_m4_m7,32,32
artificial_language_g0_244_m1_m4_m7,33,33
artificial_language_g0_244_m1_m4_m7,34,34
artificial_language_g0_244_m1_m4_m7,35,35
artificial_language_g0_244_m1_m4_m7,36,36
artificial_language_g0_244_m1_m4_m7,37,37
artificial_language_g0_244_m1_m4_m7,38,38
artificial_language_g0_244_m1_m4_m7,39,39
artificial_language_g0_244_m1_m4_m7,40,40
artificial_language_g0_244_m1_m4_m7,41,41
artificial_language_g0_244_m1_m4_m7,42,42
artificial_language_g0_244_m1_m4_m7,43,43
artificial_language_g0_244_m1_m4_m7,44,(43 + 1)
artificial_language_g0_244_m1_m4_m7,45,(43 + 2)
artificial_language_g0_244_m1_m4_m7,46,(43 + 3)
artificial_language_g0_244_m1_m4_m7,47,(43 + 4)
artificial_language_g0_244_m1_m4_m7,48,(43 + 5)
artificial_language_g0_244_m1_m4_m7,49,(43 + 6)
artificial_language_g0_244_m1_m4_m7,50,(43 + 7)
artificial_language_g0_244_m1_m4_m7,51,(43 + 8)
artificial_language_g0_244_m1_m4_m7,52,(43 + 9)
artificial_language_g0_244_m1_m4_m7,53,(43 + 10)
artificial_language_g0_244_m1_m4_m7,54,(43 + 11)
artificial_language_g0_244_m1_m4_m7,55,(43 + 12)
artificial_language_g0_244_m1_m4_m7,56,(43 + 13)
artificial_language_g0_244_m1_m4_m7,57,(43 + 14)
artificial_language_g0_244_m1_m4_m7,58,(43 + 15)
artificial_language_g0_244_m1_m4_m7,59,(43 + 16)
artificial_language_g0_244_m1_m4_m7,60,(43 + 17)
