language,type,lexicon,grammar,lexicon_grammar,avg_ms_complexity
artificial_language_g0_244_m1_m4_m7,artificial,44,1,45,1.0156611960660382
artificial_language_g0_244_m1_m8,artificial,45,2,47,1.0150367444627078
artificial_language_g0_244_m1_m8_m9,artificial,46,2,48,1.0144395745729593
artificial_language_g0_244_m1_m4_m7_m10,artificial,43,2,45,1.0163148421717092
artificial_language_g1_11_m2_m5_m6_m10_m12,artificial,49,2,51,1.0127949791977284
artificial_language_g0_244_m1_m8_m9_m16,artificial,47,2,49,1.0138614420315513
artificial_language_g1_11_m2_m5_m6_m10_m12_m17,artificial,48,2,50,1.013320229144288
artificial_language_g24_43,artificial,98,0,98,1.0001248166980543
artificial_language_g0_244_m1_m4_m7_m10_m25,artificial,42,2,44,1.0169997786134677
artificial_language_g1_11_m2_m5_m6_m10_m12_m29,artificial,50,2,52,1.0122854713020102
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31,artificial,23,0,23,1.0469060233095238
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m32,artificial,22,0,22,1.0501223155870458
artificial_language_g8_0_m17_m22_m25_m27_m34,artificial,90,2,92,1.000151028204645
artificial_language_g0_244_m1_m4_m7_m10_m25_m35,artificial,41,2,43,1.0177183066960536
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37,artificial,40,2,42,1.018472959000048
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m36_m37_m38,artificial,4,0,4,1.4341301685559908
artificial_language_g25_10_m27_m39,artificial,82,2,84,1.0001819346308187
artificial_language_g25_10_m27_m29_m35_m39,artificial,80,2,82,1.0001911450715038
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40,artificial,24,0,24,1.0439775947135863
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m36_m37_m38_m40,artificial,3,0,3,1.6170999788234846
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m32_m41,artificial,21,0,21,1.0539451775217192
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41,artificial,6,0,6,1.270371250994759
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41_m42,artificial,5,0,5,1.335119940567438
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m40_m43,artificial,12,0,12,1.120792939875262
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m36_m37_m38_m40_m43,artificial,2,0,2,2.0785225869763164
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44,artificial,25,0,25,1.041299028373365
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45,artificial,39,2,41,1.019266529174573
artificial_language_g15_34_m16_m17_m18_m19_m21_m24_m25_m31_m33_m41_m45,artificial,10,0,10,1.147948301362413
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41_m45,artificial,7,0,7,1.2242230128235094
artificial_language_g25_10_m27_m29_m35_m39_m42_m45,artificial,78,2,80,1.0002010730535214
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m32_m41_m46,artificial,20,0,20,1.0581671242724848
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51,artificial,38,2,40,1.0201021064555922
artificial_language_g25_10_m27_m29_m35_m39_m52,artificial,79,2,81,1.0001960148145528
artificial_language_g23_44_m34_m37_m53,artificial,60,2,62,1.0003398134604509
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41_m45_m53,artificial,8,0,8,1.1920788676599852
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54,artificial,14,0,14,1.098458465166444
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51_m54,artificial,37,2,39,1.020983115807694
